city,postings,pct_stating_salary
London,2035,12.7
Manchester,663,16.6
Birmingham,322,10.6
Leeds,321,19.3
Edinburgh,286,12.9
Glasgow,284,8.1
Belfast,241,5.8
Bristol,222,14.0
Nottingham,145,15.2
Cardiff,110,10.0
Sheffield,109,21.1
Liverpool,106,19.8
